model,technique,video,crime_type,judge,H1,H2,H3,H4,H5,H6,judge_confidence,judge_reasoning,confidence,reasoning,rerun
Claude,CHAIN-OF-THOUGHT,Abuse003_x264,Abuse,GPT,0,0,0,0,0,0,high,"The model output refuses to analyze and does not describe any scene details, actors, objects, or actions, so it does not contradict the ground truth or fabricate entities. It also does not reclassify the crime or claim the scene is non-criminal; it simply declines.",,,
Claude,CHAIN-OF-THOUGHT,Abuse003_x264,Abuse,Gemini,0,0,0,0,0,0,high,"The model refused to analyze the content, citing that it may be related to abuse, which aligns with the ground truth crime type. It did not describe any scene, crime, entities, or actors, thus no hallucinations occurred based on the strict definitions.",,,
Claude,CHAIN-OF-THOUGHT,Abuse012_x264,Abuse,GPT,0,0,1,0,0,0,high,"Ground truth clearly depicts physical abuse of a baby by a woman (beating, shaking, slapping), but the model output refuses to analyze and provides no acknowledgment of the abusive actions, effectively omitting the crime content.",,,
Claude,CHAIN-OF-THOUGHT,Abuse012_x264,Abuse,Gemini,0,0,0,0,0,0,high,"The model explicitly refuses to analyze the content due to its nature (abuse) and does not provide any description of the video's scene, crime, entities, or actors. Therefore, it does not hallucinate any specific details that contradict the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Arson002_x264,Arson,GPT,1,0,0,0,1,1,high,"GT occurs at a house doorway/window with gasoline poured and ignited by a single man, but the model describes a subway/underground station with blue stairs, metal railings, and green platform chairs (scene fabrication and entity fabrication). The model also adds multiple emergency responders and an additional person in dark clothing, which are not in the GT (phantom actors).",,,
Claude,CHAIN-OF-THOUGHT,Arson002_x264,Arson,Gemini,1,0,0,0,1,1,high,"The model describes a 'Subway/underground transit station' (H1) with 'blue stairs' and 'green plastic chairs' (H5), which directly contradicts the ground truth of a 'house' with a 'door' and 'window'. Additionally, the model mentions 'Multiple emergency responders' and 'One person in dark clothing' (H6) which are not present in the ground truth, which only describes 'A man'.",,,
Claude,CHAIN-OF-THOUGHT,Arson003_x264,Arson,GPT,1,0,0,0,1,0,high,"GT describes a single room with cabinets and a pool table where gasoline is poured and fire spreads then dies out, but the model adds multiple distinct settings (institutional meeting room, retail area, outdoor nighttime surveillance, stairwell) not supported by GT (H1). It also introduces specific objects/actions not in GT, like curved council seating/desks, merchandise displays, and scattered small objects as incendiary materials (H5).",,,
Claude,CHAIN-OF-THOUGHT,Arson003_x264,Arson,Gemini,1,0,0,0,1,0,high,"The model describes specific wrong settings like 'council chamber', 'retail area', 'outdoor nighttime surveillance', and 'building surveillance' (H1) which contradict the ground truth's description of a room with cabinets and a pool table. It also fabricates specific objects such as 'curved institutional seating/desks', 'retail counter and merchandise displays', and 'office furniture, chairs, papers' (H5) that are not mentioned in the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Assault001_x264,Assault,GPT,0,0,0,0,0,0,high,"The model output refuses to analyze and does not describe any concrete scene details, actors, objects, or events that could contradict the ground truth. It also does not misclassify the crime type; it only references possible violence/assault in general.",,,
Claude,CHAIN-OF-THOUGHT,Assault001_x264,Assault,Gemini,0,0,0,0,0,0,high,"The model explicitly refused to analyze the video content due to perceived violence, rather than describing any specific details. It did not fabricate scenes, misclassify the crime, omit the crime, minimize severity, or fabricate entities or actors. Its refusal to analyze means it did not provide any information that could be hallucinated against the ground truth.",,,
Claude,CHAIN-OF-THOUGHT,Assault002_x264,Assault,GPT,0,0,0,0,0,0,high,"The model largely refuses to analyze and does not assert facts contradicting the assault ground truth. Its limited observations (indoor security camera footage, multiple people, tables/chairs, timestamp/Cam indicator) are generic and not in clear conflict with the annotated events.",,,
Claude,CHAIN-OF-THOUGHT,Assault002_x264,Assault,Gemini,0,0,0,0,1,0,high,The model mentions specific features like 'timestamp and Cam 28 indicator' which are not present in the ground truth description of the video content.,,,
Claude,CHAIN-OF-THOUGHT,Burglary008_x264,Burglary,GPT,0,0,0,0,1,1,high,"Ground truth specifies two men, a car pulling a rope (which breaks), and removal of an iron box; the model instead describes an empty restaurant sequence, mentions 3 individuals entering together, and claims interaction with retail displays/service counter and that furniture remained undisturbed, contradicting the rope tripping a red chair.",,,
Claude,CHAIN-OF-THOUGHT,Burglary008_x264,Burglary,Gemini,0,0,0,0,1,0,high,"The model states 'Furniture: Remains undisturbed throughout (red chairs, tables stay in position)', which directly contradicts the ground truth that states 'The rope tripped a red chair'.",,,
Claude,CHAIN-OF-THOUGHT,Explosion002_x264,Explosion,GPT,0,0,0,0,1,0,medium,"Ground truth describes a black car catching fire during refueling and a man in red using a fire extinguisher, but the model introduces specific on-screen text overlays (e.g., ""CAM 11, dated 2006-09-26"", ""TIME TO FUEL THE CAR"", ""NOT A GOOD IDEA TO USE THE PHONE WHILE FUELING THE CAR"") that are not supported by the ground truth. Other elements (gas station, tanker truck, fire, people in blue/red) broadly align without clear contradictions.",,,
Claude,CHAIN-OF-THOUGHT,Explosion026_x264,Explosion,GPT,1,0,0,0,1,1,high,"Ground truth is a roadside scene with two women (brown/blue) and a man in black knocked down by a smoke-wrapped object; the model instead describes a parking lot with parked cars, white lines, barriers, stairs, and a person carrying a bright yellow object (scene/object fabrication). It also introduces a person in orange/yellow shirt and frames the light-blue person as a likely perpetrator, which are not supported by the ground truth actors/actions.",,,
Claude,CHAIN-OF-THOUGHT,Explosion026_x264,Explosion,Gemini,1,0,0,0,1,1,high,"H1: The model describes a 'parking lot with white lines and concrete barriers' and a 'staircase/steps structure' which are specific settings not present in the ground truth's 'roadside' and 'wall'. H5: The model fabricates specific objects like 'Multiple parked cars', 'white lines and concrete barriers', 'Staircase/steps structure', and a 'Bright yellow handheld object' not mentioned in the ground truth. H6: The model mentions a 'Person in orange/yellow shirt and blue jeans' and a 'Person in lig",,,
Claude,CHAIN-OF-THOUGHT,Fighting003_x264,Fighting,GPT,1,0,0,0,1,0,high,"Ground truth only describes a train platform fight, but the model claims the video includes a casino/gaming establishment, escalators, and returns to gaming areas (H1) and specifically mentions slot/gaming machines, patterned carpet, security cameras, and a train with open doors (H5) which are not in the ground-truth description.",,,
Claude,CHAIN-OF-THOUGHT,Fighting003_x264,Fighting,Gemini,1,0,0,0,1,1,high,"The model fabricates the scene by describing a 'casino/gaming establishment' and 'escalator areas' as primary locations, contradicting the ground truth's sole focus on a 'platform'. It also fabricates specific objects like 'Gaming machines/slot machines' and 'patterned flooring'. Additionally, the model mentions a 'Person in red/pink clothing' as a 'central figure' which is not present in the ground truth's description of actors.",,,
